fighter_id,full_name,age,weight_class,fighter_stance,total_fights,wins,losses,avg_total_str_att,avg_sig_str_att,avg_strike_acc,avg_td_att,avg_td_off_pct,avg_td_def_pct,avg_sub_att,avg_str_abs_pct,ko_wins,ko_losses,sub_wins,sub_losses,fighting_style
2.0,Allan Zuniga,33.0,Lightweight,Orthodox,1,0,1,147.0,112.0,0.5267857142857143,0.0,,0.5789473684210527,1.0,0.618421052631579,0,0,0,0,Kickboxer
6.0,Igor Zinoviev,,Light Heavyweight,Orthodox,1,0,1,2.0,2.0,0.0,0.0,,0.0,0.0,0.5,0,1,0,0,Mixed
7.0,Cat Zingano,42.0,Women's Bantamweight,Southpaw,7,3,4,75.85714285714286,42.142857142857146,0.5162588587958823,2.857142857142857,0.67,0.35119047619047616,0.5714285714285714,0.6316939351744412,2,1,0,0,Wrestler
9.0,James Zikic,48.0,Light Heavyweight,Orthodox,1,0,1,93.0,66.0,0.4393939393939394,1.0,0.0,0.8181818181818181,1.0,0.7192982456140351,0,0,0,0,Mixed
11.0,Fares Ziam,28.0,Lightweight,Orthodox,6,4,2,105.83333333333333,77.16666666666667,0.5447271911322716,3.5,0.20714285714285713,0.7857575757575758,0.0,0.5100993049699946,0,0,0,0,Kickboxer
12.0,Zhalgas Zhumagulov,36.0,Flyweight,Switch,7,1,6,153.42857142857142,141.0,0.4297789206418218,5.142857142857143,0.22379953379953382,0.8333333333333334,0.14285714285714285,0.5190218677122902,0,1,0,0,Mixed
13.0,Yao Zhikui,34.0,Flyweight,Orthodox,4,1,3,99.5,76.25,0.22171401059220028,3.0,0.16666666666666666,0.4375,0.0,0.6247930228369903,0,1,0,0,Mixed
16.0,Zhang Weili,35.0,Women's Strawweight,Switch,10,8,2,179.5,142.1,0.5802114975551864,4.5,0.4314316635745207,0.75,0.3,0.4850433522133897,2,1,0,0,Kickboxer
17.0,Zhang Lipeng,35.0,Lightweight,Southpaw,4,2,2,96.75,39.5,0.4773068917668825,5.75,0.35,0.7609427609427609,0.75,0.6087106107356046,0,0,0,0,Mixed
18.0,Zhang Tiequan,46.0,Featherweight,Orthodox,4,1,3,37.5,35.25,0.3051611188283514,0.5,1.0,0.6666666666666667,1.25,0.6548068473408556,0,1,0,0,Mixed
23.0,Daniel Zellhuber,25.0,Lightweight,Switch,3,2,1,168.0,162.0,0.3417940230759764,0.3333333333333333,0.0,0.9629629629629629,0.3333333333333333,0.48329656584816055,0,0,0,0,Mixed
